postal,latitude,longitude
359375,1.345849417,103.861248
400012,1.322217699,103.9041516
438945,1.31267274,103.893279
739829,1.41577621,103.7577784
268485,1.316752365,103.7944475
128798,1.31649126,103.7607763
278035,1.309043639,103.7987857
418709,1.329274711,103.9075755
298978,1.324114279,103.8189579
548397,1.359273522,103.8778157
128541,1.305342691,103.7655435
466303,1.320484694,103.9475417
466225,1.319596341,103.9507741
467955,1.319341788,103.9530265
628879,1.333158261,103.6923256
267863,1.31361851,103.7978278
417548,1.327776976,103.9137921
467814,1.322539438,103.9516054
298695,1.33790637,103.8198404
348745,1.326339965,103.871573
370012,1.327730869,103.8843617
358429,1.344709037,103.8613303
098107,1.241011125,103.8356263
328365,1.323377483,103.8513743
266743,1.322205691,103.8104933
424288,1.313601407,103.9047872
437408,1.301177742,103.8893575
258293,1.318066268,103.8266875
437373,1.310663745,103.8930197
288287,1.336302105,103.8197089
787918,1.397352443,103.8205479
424075,1.308197684,103.9068992
597399,1.326474334,103.7679661
797919,1.40383798,103.8693189
535496,1.347480953,103.885361
534233,1.337101945,103.8906557
574841,1.377223021,103.8314422
638486,1.319401726,103.6600646
638039,1.30929797,103.6292853
618303,1.324349161,103.714711
058410,1.28855877,103.8480974
436641,1.305346673,103.8861869
738283,1.448233588,103.8058018
088264,1.2765737,103.8419983
439635,1.303497681,103.8867701
269344,1.321670793,103.7982765
068913,1.279076465,103.8486839
387312,1.31627846,103.8738512
488764,1.334536599,103.9444891
498928,1.359498824,103.9757908
498938,1.359504234,103.9759647
151121,1.283084318,103.8228049
068590,1.281286607,103.8481442
423805,1.315292181,103.9098401
297813,1.32610732,103.8368495
739009,1.433851682,103.8034396
610121,1.335704025,103.7240782
429696,1.310134815,103.8997497
269518,1.323105789,103.8033823
789333,1.386064462,103.838812
228711,1.306761742,103.8471697
610122,1.335985469,103.723866
498919,1.358912831,103.9759869
560123,1.370481188,103.8448058
439639,1.302936882,103.8864628
150123,1.286851316,103.804019
151123,1.284132914,103.823203
789847,1.388764581,103.840631
098057,1.238121832,103.8328876
427412,1.313547727,103.8996382
424910,1.307615952,103.9003498
535404,1.347478184,103.8860636
297818,1.325650111,103.836905
269519,1.323232193,103.8032393
160124,1.283925085,103.8282638
